# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2018-12-18T16:52:55Z
# station: Sonnblick
# abbr: SON
# country_code: AT
# longitude: 12.9580
# latitude: 47.0540
# height: 3105.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1940;-142;-123;-125;-86;-50;-20;3;-6;-5;-33;-85;-164;-87;-8;-41;-146;-27;-111;-70
1941;-142;-131;-110;-95;-68;-9;18;6;-21;-68;-90;-130;-91;5;-60;-156;-28;-118;-70
1942;-181;-156;-83;-89;-39;-5;13;20;16;-22;-104;-90;-70;9;-37;-110;-14;-92;-60
1943;-128;-112;-96;-72;-34;-22;11;39;11;-21;-109;-108;-67;9;-40;-125;-11;-111;-53
1944;-107;-159;-164;-75;-43;-17;12;46;-6;-56;-99;-135;-94;14;-54;-138;-14;-113;-67
1945;-179;-101;-106;-68;-17;7;33;12;-8;-52;-92;-120;-64;17;-51;-128;-7;-103;-58
1946;-127;-136;-93;-53;-20;-4;29;21;13;-60;-82;-143;-55;15;-43;-144;-2;-111;-55
1947;-161;-127;-96;-57;-17;5;30;22;13;-27;-75;-140;-57;19;-30;-125;-1;-92;-52
1948;-104;-130;-77;-81;-29;-17;-3;20;3;-24;-68;-84;-62;0;-30;-101;-18;-91;-49
1949;-107;-113;-148;-49;-39;-23;11;10;19;-12;-94;-97;-79;-1;-29;-108;-12;-88;-53
1950;-128;-100;-97;-92;-24;15;39;30;-7;-36;-95;-124;-71;28;-46;-120;-6;-102;-52
1951;-108;-129;-122;-88;-45;-2;18;28;14;-46;-74;-84;-85;15;-35;-129;-12;-103;-53
1952;-150;-152;-112;-52;-45;-1;40;33;-35;-61;-116;-125;-70;24;-71;-136;-10;-116;-65
1953;-143;-141;-110;-71;-39;-8;26;13;8;-26;-46;-87;-73;10;-21;-131;-12;-95;-52
1954;-169;-138;-103;-92;-44;7;-8;5;4;-36;-81;-107;-80;1;-38;-118;-21;-99;-63
1955;-99;-147;-126;-99;-52;-13;13;-1;-13;-54;-85;-95;-92;0;-51;-142;-27;-116;-64
1956;-121;-211;-133;-98;-49;-26;16;20;17;-47;-103;-108;-93;3;-44;-114;-20;-94;-70
1957;-122;-111;-76;-89;-58;6;15;4;-14;-19;-61;-109;-74;8;-31;-112;-23;-95;-53
1958;-123;-104;-153;-108;-5;-13;25;28;9;-42;-64;-104;-89;13;-32;-116;-11;-89;-54
1959;-150;-93;-81;-77;-39;-11;25;7;-1;-35;-82;-109;-66;7;-39;-122;-16;-98;-54
1960;-139;-117;-105;-93;-42;-4;-2;13;-23;-55;-83;-104;-80;2;-54;-109;-25;-94;-63
1961;-118;-106;-96;-49;-57;6;-2;17;31;-26;-74;-115;-67;7;-23;-126;-9;-105;-49
1962;-118;-145;-151;-96;-55;-29;4;38;-13;-24;-106;-139;-101;4;-48;-161;-25;-121;-69
1963;-185;-160;-115;-71;-43;4;29;19;3;-36;-62;-107;-76;17;-32;-112;-10;-90;-60
1964;-105;-123;-106;-71;-33;10;17;12;-4;-58;-68;-102;-70;13;-43;-141;-11;-111;-53
1965;-129;-191;-118;-101;-57;0;9;1;-19;-13;-96;-116;-92;3;-43;-118;-28;-101;-69
1966;-154;-85;-140;-67;-41;-1;4;7;12;-20;-115;-125;-83;3;-41;-129;-14;-105;-60
1967;-136;-126;-106;-98;-41;-15;32;22;0;-9;-53;-141;-82;13;-21;-140;-17;-98;-56
